xR,f_HI,f_HI_siglow,f_HI_sighi,M_HI,M_HI_siglow,M_HI_sighi,f_CII,f_CII_siglow,f_CII_sighi,M_CII,M_CII_siglow,M_CII_sighi,f_CIV,f_CIV_siglow,f_CIV_sighi,M_CIV,M_CIV_siglow,M_CIV_sighi,f_SiII,f_SiII_siglow,f_SiII_sighi,M_SiII,M_SiII_siglow,M_SiII_sighi,f_SiIII,f_SiIII_siglow,f_SiIII_sighi,M_SiIII,M_SiIII_siglow,M_SiIII_sighi,f_SiIV,f_SiIV_siglow,f_SiIV_sighi,M_SiIV,M_SiIV_siglow,M_SiIV_sighi
0.19231634070008638,0.4085714285714286,-0.13428571428571434,0.13428571428571434,21328.84,-10647.65,21066.94,0.17428571428571427,-0.05285714285714284,0.06714285714285714,5981.45,-1863.61,2594.51,0.21999999999999997,-0.051428571428571435,0.06285714285714289,4825.6,-1075.04,1348.31,0.10285714285714284,-0.01999999999999999,0.027142857142857163,740.04,-120.73,136.19,0.26,-0.05857142857142855,0.06857142857142856,1428.78,-292.11,367.04,0.13857142857142857,-0.04285714285714287,0.057142857142857106,1065.19,-252.67,333.23
0.19703133724475103,0.42142857142857143,-0.13571428571428573,0.13571428571428573,21994.49,-10910.15,21468.86,0.18142857142857144,-0.0542857142857143,0.06857142857142856,6245.08,-1930.94,2681.04,0.22999999999999998,-0.05285714285714285,0.06428571428571428,5021.04,-1106.33,1394.5,0.10714285714285712,-0.021428571428571422,0.02857142857142858,777.84,-125.61,141.04,0.27,-0.060000000000000026,0.0714285714285714,1484.22,-301.06,376.5,0.1442857142857143,-0.04428571428571432,0.058571428571428524,1115.27,-262.01,345.28
0.20186193079139314,0.4342857142857142,-0.13714285714285712,0.13714285714285718,22657.73,-11172.02,21889.8,0.18857142857142858,-0.055714285714285716,0.07142857142857142,6514.21,-1999.84,2766.69,0.23857142857142855,-0.05428571428571427,0.06571428571428573,5219.06,-1138.73,1434.22,0.11285714285714285,-0.02285714285714284,0.03,816.29,-130.33,146.08,0.27999999999999997,-0.061428571428571416,0.0728571428571429,1539.32,-309.08,387.01,0.15000000000000002,-0.04571428571428575,0.06142857142857139,1166.87,-273.26,356.97
0.20681095541777703,0.4457142857142857,-0.13999999999999996,0.13857142857142862,23311.92,-11433.62,22300.64,0.1957142857142857,-0.057142857142857134,0.07285714285714287,6783.64,-2069.56,2853.18,0.24714285714285714,-0.055714285714285716,0.06714285714285714,5423.42,-1179.21,1475.51,0.11857142857142856,-0.024285714285714285,0.030000000000000013,855.76,-135.28,151.48,0.29,-0.06285714285714283,0.07428571428571429,1594.45,-318.6,397.48,0.15714285714285714,-0.04714285714285715,0.06285714285714283,1218.73,-283.83,372.36
0.21188131468440996,0.4571428571428571,-0.14285714285714285,0.14,23972.04,-11701.45,22666.61,0.20428571428571426,-0.05857142857142855,0.07428571428571426,7059.35,-2136.07,2932.7,0.2557142857142857,-0.05714285714285716,0.0685714285714285,5623.28,-1213.35,1515.87,0.12428571428571428,-0.025714285714285717,0.030000000000000027,896.31,-140.09,156.5,0.3,-0.06428571428571428,0.07571428571428573,1650.42,-328.1,405.83,0.16428571428571426,-0.04857142857142856,0.06428571428571428,1272.04,-294.3,385.55
0.21707598333804218,0.4699999999999999,-0.14428571428571424,0.14000000000000007,24647.09,-11986.53,23001.98,0.21285714285714286,-0.061428571428571443,0.07571428571428568,7338.56,-2207.81,3010.33,0.2642857142857143,-0.05857142857142855,0.07,5825.57,-1247.25,1556.87,0.13,-0.02714285714285715,0.03,937.72,-144.86,161.48,0.30999999999999994,-0.0657142857142857,0.07714285714285718,1705.59,-335.73,416.49,0.1714285714285714,-0.049999999999999975,0.06571428571428575,1325.52,-304.12,398.45
0.22239800905693152,0.4828571428571428,-0.14571428571428574,0.14000000000000007,25267.15,-12200.01,23335.87,0.21999999999999997,-0.06285714285714286,0.07714285714285718,7623.43,-2274.08,3083.69,0.27285714285714285,-0.06,0.07,6031.55,-1281.26,1601.4,0.1357142857142857,-0.028571428571428567,0.03,980.34,-149.58,166.68,0.32,-0.06714285714285717,0.07857142857142857,1760.82,-344.37,427.07,0.17857142857142858,-0.051428571428571435,0.06714285714285712,1381.17,-314.78,412.59
0.22785051423889638,0.4942857142857143,-0.1471428571428572,0.14000000000000007,25881.77,-12416.74,23695.58,0.22714285714285715,-0.06428571428571431,0.07857142857142857,7911.28,-2345.43,3164.58,0.2814285714285714,-0.06,0.07142857142857145,6238.93,-1315.97,1636.72,0.14142857142857143,-0.030000000000000013,0.03142857142857142,1024.32,-154.63,171.31,0.33,-0.06857142857142862,0.08000000000000002,1817.18,-353.01,435.94,0.1857142857142857,-0.052857142857142825,0.06857142857142859,1437.14,-324.91,427.59
0.23343669783320592,0.5057142857142857,-0.14857142857142858,0.14,26482.64,-12630.89,24040.55,0.2357142857142857,-0.06571428571428573,0.08000000000000002,8203.2,-2419.53,3255.94,0.29,-0.061428571428571443,0.0728571428571429,6443.45,-1343.13,1670.52,0.14857142857142858,-0.03,0.03285714285714286,1068.81,-159.34,176.07,0.33999999999999997,-0.06999999999999995,0.08000000000000002,1872.25,-361.07,446.3,0.19428571428571428,-0.05428571428571427,0.07142857142857145,1495.22,-337.31,439.85
0.2391598372173831,0.5171428571428571,-0.14999999999999997,0.1399999999999999,27065.07,-12830.48,24405.51,0.24428571428571424,-0.06714285714285712,0.08142857142857143,8497.74,-2481.2,3340.08,0.3,-0.06285714285714289,0.07428571428571429,6653.51,-1374.96,1705.86,0.1542857142857143,-0.030000000000000013,0.03428571428571428,1114.39,-163.97,180.98,0.35,-0.07,0.08000000000000002,1928.22,-369.36,456.28,0.2014285714285714,-0.05571428571428569,0.0728571428571429,1553.33,-348.74,454.24
